amfi_code,scheme_name,year,lower_5pct_nav,median_nav,upper_95pct_nav
148567,Mirae Asset Large Cap Fund - Regular - Growth,1,235.23525303412146,294.7934844356514,371.5497896846612
148567,Mirae Asset Large Cap Fund - Regular - Growth,2,271.07043596978536,379.75188350754615,526.8479940623107
148567,Mirae Asset Large Cap Fund - Regular - Growth,3,311.7383379241229,486.0983810950721,720.6279846214655
148567,Mirae Asset Large Cap Fund - Regular - Growth,4,384.0477603573088,633.7702989526833,1004.3109809661978
148567,Mirae Asset Large Cap Fund - Regular - Growth,5,475.1982580082706,812.7352194330666,1402.5508037831567
120505,ICICI Pru Midcap Fund - Regular - Growth,1,443.68936821741687,613.6217873056514,840.7326959025349
120505,ICICI Pru Midcap Fund - Regular - Growth,2,508.70612281016685,797.4746844061453,1253.3168703708411
120505,ICICI Pru Midcap Fund - Regular - Growth,3,579.2304798097255,1024.3713658161805,1796.6000487255278
120505,ICICI Pru Midcap Fund - Regular - Growth,4,694.6570705011289,1316.0981824224964,2551.8836074886603
120505,ICICI Pru Midcap Fund - Regular - Growth,5,817.0219585905573,1725.9295464316351,3485.343905346829
120843,Kotak Flexicap Fund - Regular - Growth,1,162.09652596091397,210.02318006991504,271.16710234939774
120843,Kotak Flexicap Fund - Regular - Growth,2,182.5607959806314,269.882314698492,390.6457065463442
120843,Kotak Flexicap Fund - Regular - Growth,3,224.912375595915,343.80978565116027,553.9628665566001
120843,Kotak Flexicap Fund - Regular - Growth,4,269.4518780046044,443.471445870292,767.2095002561797
120843,Kotak Flexicap Fund - Regular - Growth,5,320.8647120948498,573.2737679798557,1044.0660554449362
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1,316.9398751664021,432.8422365003425,586.9817926825391
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,2,342.0265268126715,551.1789402709026,847.2115250015019
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,3,410.37061925259985,693.5142354584067,1190.8846952673284
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,4,473.1258123020455,886.1269538147628,1682.7201503651231
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,5,575.3850814406527,1129.3188801876422,2204.546498918603
120504,ICICI Pru Bluechip Fund - Direct - Growth,1,147.2023808266415,182.69127301900227,232.68208558494098
120504,ICICI Pru Bluechip Fund - Direct - Growth,2,156.1319828582091,222.49266935332702,316.2050453547036
120504,ICICI Pru Bluechip Fund - Direct - Growth,3,180.38807840375762,270.70492863036253,403.21889968106893
120504,ICICI Pru Bluechip Fund - Direct - Growth,4,204.49604043294966,323.9551455025871,508.47860883608814
120504,ICICI Pru Bluechip Fund - Direct - Growth,5,224.76176363829535,395.29028514866786,658.2130030539472
