amfi_code,scheme_name,fund_house,category,HHI
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,0.18058807999999998
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,0.22764743999999998
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.18004225000000001
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.22272651000000002
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,0.18071201999999997
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.12402024
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.25138255
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,0.20725894
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.22120031999999998
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,0.16029924
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.23749677
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,0.29676908999999996
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.18423319999999999
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.17510024999999999
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.15958229000000002
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.14249103999999999
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.22750834999999997
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.18808485000000003
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.2323612
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,0.1821675
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.22121302999999998
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,0.23869504
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,0.23146434
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.21589315000000003
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.16206189
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.13620616000000002
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.17241088
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.253155
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,0.20124815000000001
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,0.21808584999999997
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,0.25499194
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,0.18269533
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.24107663999999998
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.18870081999999996
