scheme_name,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score,amfi_code
Mirae Asset Large Cap Fund - Regular - Growth,0.2037595706234765,0.33991970400445304,0.3097410750185903,1.0682238272314732,0.2698375144191807,-0.11265729075028275,1.46,2.0,1.0,7.0,23.0,8.0,100.0,148567
ICICI Pru Midcap Fund - Regular - Growth,0.29627681171526876,0.3176924285223732,0.3282740607461121,0.883255618469884,0.2926358334175106,-0.18188513572116294,1.36,5.0,4.0,3.0,15.0,25.0,95.26315789473684,120505
Kotak Flexicap Fund - Regular - Growth,0.2667758391882715,0.2957511058901836,0.3090745475400549,0.9655606517440118,0.27330465038306057,-0.1297396816518679,1.45,7.0,2.0,5.0,22.0,13.0,94.03508771929823,120843
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.5327719549540499,0.3243397122906222,0.3012315310072722,0.8082678003905592,0.2719535450128533,-0.16217208574644848,1.38,4.0,7.0,6.0,17.0,20.0,92.28070175438596,100033
ICICI Pru Bluechip Fund - Direct - Growth,0.13073788394478303,0.32478927222623,0.2329511862010305,0.7146822636441238,0.2119482701352573,-0.12588275606922517,0.8,3.0,11.0,13.0,12.0,12.0,90.35087719298245,120504
Axis Midcap Fund - Regular - Growth,0.22277897154308546,0.35102527889035406,0.2821441719365203,0.7305467735561727,0.2607666908004223,-0.20960883862039192,1.38,1.0,9.0,9.0,17.0,28.0,88.7719298245614,119094
SBI Bluechip Fund - Regular Plan - Growth,0.6048929711840034,0.3044861306002782,0.25804686425584,0.8609773262277756,0.23201007160635082,-0.1501238549864533,1.54,6.0,5.0,10.0,30.5,17.0,83.0701754385965,119551
Mirae Asset Tax Saver Fund - Regular - Growth,0.3978380253854239,0.2917135767741186,0.3194952310833252,0.919046535635828,0.2827036785246582,-0.1639674294693263,1.6,8.0,3.0,4.0,36.5,21.0,82.36842105263158,148569
SBI Small Cap Fund - Regular Plan - Growth,0.8285157468100046,0.2666309129954312,0.3242353615245459,0.7116901743847245,0.3033696538698332,-0.2870600572176455,1.43,12.0,13.0,1.0,21.0,36.0,74.38596491228071,119598
ABSL Frontline Equity Fund - Regular - Growth,0.4796379447633372,0.28960211096593724,0.2353836133468803,0.717408995989017,0.21399784776051212,-0.11291596329323073,1.6,9.0,10.0,12.0,36.5,9.0,73.7719298245614,101206
DSP Small Cap Fund - Regular - Growth,0.6519546577826334,0.2699350260734621,0.3228744045157361,0.7144216579881013,0.3005787817097677,-0.31171900300634214,1.52,10.0,12.0,2.0,26.5,37.0,73.42105263157895,149324
DSP Midcap Fund - Regular - Growth,0.21497414349538224,0.26863103668817145,0.29581086910433974,0.8328852279505966,0.26598577542043045,-0.17248105753451382,1.61,11.0,6.0,8.0,38.0,22.0,72.63157894736842,149323
Nippon India Large Cap Fund - Regular - Growth,0.340078958236512,0.22646647456747715,0.24049492662391758,0.7588510310771438,0.21829397904608644,-0.17414075086657232,1.51,14.0,8.0,11.0,24.5,23.0,72.36842105263158,118632
SBI Bluechip Fund - Direct Plan - Growth,0.057101178520777784,0.16263375081360643,0.21524235873769704,0.6482414723266905,0.1986859936686296,-0.11803493502764295,0.66,23.0,14.0,15.0,4.0,11.0,69.82456140350878,119552
HDFC Top 100 Fund - Direct Plan - Growth,0.286975804558778,0.18429918008610047,0.1901779534471144,0.5062729716095954,0.17729754927531766,-0.15200013055606398,0.92,19.0,18.0,16.0,14.0,18.0,62.10526315789475,125497
Nippon India Large Cap Fund - Direct - Growth,0.25559539940517384,0.21084691029380598,0.16274217354504272,0.3888288460001742,0.15643835948169668,-0.18629743138595511,0.72,15.0,21.0,22.0,5.5,26.0,61.14035087719298,118633
Nippon India ETF Nifty 50 BeES,0.22510248103762276,0.2000321571698329,0.15957231179671738,0.3931881969124055,0.1513635464823924,-0.1165062450540909,0.89,17.0,20.0,23.0,13.0,10.0,60.87719298245615,118635
UTI Nifty 50 Index Fund - Regular - Growth,0.20222858595384663,0.19662361245910964,0.18232378887705947,0.5197971450361778,0.17048756803412696,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,56.140350877193,102885
ICICI Pru Bluechip Fund - Regular - Growth,0.08495135972254553,0.13974980348212673,0.18785325598262204,0.5165503915082101,0.17703302365844073,-0.13897862823061635,1.42,25.0,17.0,17.0,20.0,14.0,54.21052631578948,120503
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.14279834500870736,0.14744434832760533,0.2251686900711385,0.6406730942266641,0.20873010086942337,-0.1527259422823477,1.52,24.0,15.0,14.0,26.5,19.0,53.94736842105263,148568
ICICI Pru Value Discovery Fund - Regular - Growth,0.4185299002066023,0.18417429266835228,0.1708486725575018,0.40461547832920475,0.1625385327998104,-0.1982565826298267,1.41,20.0,19.0,20.0,19.0,27.0,51.578947368421055,120506
Axis Bluechip Fund - Direct - Growth,0.19781538524100495,0.20811559826631898,0.07897557854375958,-0.04707325681075906,0.08232801295222093,-0.21751396370148224,0.75,16.0,28.0,28.0,8.0,31.0,46.66666666666666,119093
UTI Flexi Cap Fund - Regular - Growth,0.1359304393755194,0.25549670172502026,0.16841120247307528,0.38463733450338444,0.16211256794033255,-0.21539827112383225,1.64,13.0,22.0,21.0,39.5,30.0,43.7719298245614,102887
DSP Top 100 Equity Fund - Regular - Growth,0.1812461925339035,0.1803973982038829,0.13393275924001857,0.23966336777285166,0.13173190226099432,-0.14844576917771746,1.54,21.0,25.0,24.0,30.5,16.0,40.263157894736835,149322
